year	race	gender	students	drops	rate
1975	white	all	9440.00	507.00	5.37
1974	white	all	9403.00	566.00	6.02
1973	white	all	9359.00	537.00	5.74
1972	white	all	9173.00	520.00	5.67
1971	white	all	9140.00	470.00	5.14
1970	white	all	8959.00	449.00	5.01
1969	white	all	8878.00	429.00	4.83
1968	white	all	8580.00	387.00	4.51
1967	white	all	8186.00	379.00	4.63
2012	black	all	1949.00	124.00	6.40
2011	black	all	1944.00	78.00	4.00
2010	black	all	1898.00	62.00	3.20
2009	black	all	1797.00	81.00	4.50
2008	black	all	1868.00	114.00	6.10
2007	black	all	1781.00	76.00	4.30
2006	black	all	1767.00	65.00	3.70
2005	black	all	1763.00	122.00	6.90
2004	black	all	1715.80	89.82	5.23
2003	black	all	1697.97	76.11	4.48
2002	black	all	1664.43	73.36	4.41
2001	black	all	1655.00	95.00	5.74
2000	black	all	1706.00	96.00	5.60
1999	black	all	1794.00	107.00	6.00
1998	black	all	1759.00	88.00	5.00
1997	black	all	1678.00	80.00	4.80
1996	black	all	1704.00	107.00	6.30
1995	black	all	1598.00	97.00	6.10
1994	black	all	1559.00	96.00	6.10
1993	black	all	1499.00	80.00	5.30
1993	black	all	1447.00	78.00	5.40
1992	black	all	1422.00	70.00	4.90
1991	black	all	1366.00	85.00	6.20
1990	black	all	1303.00	66.00	5.10
1989	black	all	1384.00	106.00	7.66
1988	black	all	1468.00	93.00	6.34
1987	black	all	1463.00	93.00	6.36
1986	black	all	1449.00	68.00	4.69
1985	black	all	1422.00	110.00	7.74
1984	black	all	1524.00	88.00	5.77
1983	black	all	1498.00	103.00	6.88
1982	black	all	1553.00	121.00	7.79
1981	black	all	1516.00	146.00	9.63
1980	black	all	1496.00	124.00	8.29
1979	black	all	1479.00	142.00	9.60
1978	black	all	1542.00	160.00	10.38
1977	black	all	1588.00	133.00	8.38
1976	black	all	1449.00	105.00	7.25
1975	black	all	1416.00	123.00	8.69
1974	black	all	1441.00	167.00	11.59
1973	black	all	1372.00	138.00	10.06
1972	black	all	1373.00	133.00	9.69
1971	black	all	1195.00	87.00	7.28
1970	black	all	1192.00	133.00	11.16
1969	black	all	1209.00	113.00	9.35
1968	black	all	1123.00	113.00	10.06
1967	black	all	1066.00	106.00	9.94
2012	asian	all	592.00	19.00	3.20
2011	asian	all	495.00	17.00	3.50
2010	asian	all	419.00	12.00	2.80
2009	asian	all	426.00	7.00	1.70
2008	asian	all	429.00	17.00	3.90
2007	asian	all	404.00	30.00	7.50
2006	asian	all	445.00	19.00	4.20
2005	asian	all	425.00	6.00	1.50
2004	asian	all	452.35	4.18	0.92
2003	asian	all	457.23	10.84	2.37
2002	asian	all	514.80	11.80	2.29
2001	asian	all	470.00	10.00	2.13
2000	asian	all	399.00	13.00	3.30
1999	asian	all	523.00	25.00	4.80
2012	hispanic	all	2671.00	136.00	5.10
2011	hispanic	all	2376.00	100.00	4.20
2010	hispanic	all	2130.00	80.00	3.80
2009	hispanic	all	2129.00	114.00	5.30
2008	hispanic	all	2062.00	101.00	4.90
2007	hispanic	all	1785.00	99.00	5.50
2006	hispanic	all	1923.00	124.00	6.40
2005	hispanic	all	1814.00	86.00	4.70
2004	hispanic	all	1723.16	137.57	7.98
2003	hispanic	all	1791.55	116.36	6.49
2002	hispanic	all	1614.42	85.58	5.30
2001	hispanic	all	1487.00	121.00	8.14
2000	hispanic	all	1465.00	100.00	6.80
1999	hispanic	all	1482.00	105.00	7.10
1998	hispanic	all	1368.00	115.00	8.40
1997	hispanic	all	1377.00	119.00	8.60
1996	hispanic	all	1195.00	100.00	8.40
1995	hispanic	all	1251.00	145.00	11.60
1994	hispanic	all	1179.00	109.00	9.20
1993	hispanic	all	1061.00	69.00	6.50
1993	hispanic	all	943.00	60.00	6.40
1992	hispanic	all	917.00	72.00	7.90
1991	hispanic	all	809.00	59.00	7.30
1990	hispanic	all	811.00	65.00	8.00
1989	hispanic	all	762.00	59.00	7.74
1988	hispanic	all	730.00	77.00	10.55
1987	hispanic	all	769.00	43.00	5.59
1986	hispanic	all	764.00	91.00	11.91
1985	hispanic	all	729.00	71.00	9.74
1984	hispanic	all	706.00	77.00	10.91
1983	hispanic	all	691.00	68.00	9.84
1982	hispanic	all	692.00	65.00	9.39
1981	hispanic	all	717.00	77.00	10.74
1980	hispanic	all	646.00	74.00	11.46
1979	hispanic	all	593.00	58.00	9.78
1978	hispanic	all	567.00	70.00	12.35
1977	hispanic	all	627.00	50.00	7.97
1976	hispanic	all	638.00	46.00	7.21
1975	hispanic	all	614.00	67.00	10.91
1974	hispanic	all	547.00	53.00	9.69
1973	hispanic	all	499.00	50.00	10.02
1972	hispanic	all	498.00	55.00	11.04
2012	total	male	5997.00	201.00	3.40
2011	total	male	6010.00	206.00	3.40
2010	total	male	6006.00	172.00	2.90
2009	total	male	5798.00	189.00	3.30
2008	total	male	5999.00	174.00	2.90
2007	total	male	5879.00	206.00	3.50
2006	total	male	5932.00	227.00	3.80
2005	total	male	5843.00	233.00	3.99
2004	total	male	5623.73	265.80	4.73
2003	total	male	5704.58	225.44	3.95
2002	total	male	5504.49	193.32	3.51
2001	total	male	5534.00	293.00	5.29
2000	total	male	5417.00	280.00	5.20
1999	total	male	5659.00	243.00	4.30
1998	total	male	5486.00	237.00	4.30
1997	total	male	5330.00	251.00	4.70
1996	total	male	5175.00	240.00	4.60
1995	total	male	5161.00	297.00	5.80
1994	total	male	5048.00	249.00	4.90
1993	total	male	4787.00	211.00	4.41
1993	total	male	4570.00	199.00	4.40
1992	total	male	4580.00	175.00	3.80
1991	total	male	4380.00	167.00	3.80
1990	total	male	4356.00	177.00	4.10
1989	total	male	4519.00	203.00	4.49
1988	total	male	4960.00	256.00	5.16
1987	total	male	4921.00	215.00	4.37
1986	total	male	4910.00	213.00	4.34
1985	total	male	4831.00	259.00	5.36
1984	total	male	4986.00	268.00	5.38
1983	total	male	5130.00	294.00	5.73
1982	total	male	5310.00	305.00	5.74
1981	total	male	5379.00	322.00	5.99
1980	total	male	5445.00	362.00	6.65
1979	total	male	5479.00	369.00	6.73
1978	total	male	5558.00	415.00	7.47
1977	total	male	5657.00	392.00	6.93
1976	total	male	5534.00	360.00	6.51
1975	total	male	5485.00	296.00	5.40
1974	total	male	5421.00	402.00	7.42
1973	total	male	5407.00	370.00	6.84
1972	total	male	5305.00	317.00	5.98
1971	total	male	5193.00	297.00	5.72
1970	total	male	5145.00	288.00	5.60
1969	total	male	5069.00	273.00	5.39
1968	total	male	4831.00	247.00	5.11
1967	total	male	4605.00	237.00	5.15
2012	white	male	4479.00	126.00	2.80
2011	white	male	4559.00	145.00	3.20
2010	white	male	4592.00	127.00	2.80
2009	white	male	4459.00	146.00	3.30
2008	white	male	4588.00	123.00	2.70
2007	white	male	4518.00	126.00	2.80
2006	white	male	4568.00	177.00	3.90
2005	white	male	4472.00	151.00	3.38
2004	white	male	4344.00	211.07	4.86
2003	white	male	4434.30	172.09	3.88
2002	white	male	4371.10	132.83	3.04
2001	white	male	4363.00	230.00	5.27
2000	white	male	4368.00	204.00	4.70
1999	white	male	4426.00	180.00	4.10
1998	white	male	4306.00	188.00	4.40
1997	white	male	4220.00	208.00	4.90
1996	white	male	4077.00	198.00	4.80
1995	white	male	4079.00	220.00	5.40
1994	white	male	4014.00	184.00	4.60
1993	white	male	3790.00	157.00	4.10
1993	white	male	3623.00	147.00	4.10
1992	white	male	3646.00	140.00	3.80
1991	white	male	3514.00	127.00	3.60
1990	white	male	3522.00	144.00	4.10
1989	white	male	3653.00	149.00	4.08
1988	white	male	4016.00	203.00	5.05
1987	white	male	4023.00	163.00	4.05
1986	white	male	4007.00	168.00	4.19
1985	white	male	3963.00	195.00	4.92
1984	white	male	4119.00	220.00	5.34
1983	white	male	4264.00	232.00	5.44
1982	white	male	4381.00	231.00	5.27
1981	white	male	4532.00	254.00	5.60
1980	white	male	4624.00	294.00	6.36
1979	white	male	4694.00	311.00	6.63
1978	white	male	4747.00	329.00	6.93
1977	white	male	4766.00	327.00	6.86
1976	white	male	4708.00	297.00	6.31
1975	white	male	4709.00	234.00	4.97
1974	white	male	4650.00	326.00	7.01
1973	white	male	4708.00	288.00	6.12
1972	white	male	4588.00	247.00	5.38
1971	white	male	4577.00	244.00	5.33
1970	white	male	4496.00	212.00	4.72
1969	white	male	4438.00	208.00	4.69
1968	white	male	4246.00	190.00	4.47
1967	white	male	4060.00	189.00	4.66
2012	black	male	897.00	49.00	5.50
2011	black	male	965.00	54.00	5.60
2010	black	male	946.00	36.00	3.80
2009	black	male	870.00	38.00	4.40
2008	black	male	925.00	42.00	4.60
2007	black	male	914.00	45.00	4.90
2006	black	male	902.00	29.00	3.20
2005	black	male	943.00	71.00	7.50
2004	black	male	832.66	39.78	4.78
2003	black	male	812.35	33.11	4.08
2002	black	male	782.09	39.90	5.10
2001	black	male	828.00	51.00	6.16
2000	black	male	819.00	62.00	7.60
1999	black	male	925.00	48.00	5.20
1998	black	male	918.00	42.00	4.60
1997	black	male	813.00	33.00	4.10
1996	black	male	803.00	37.00	4.60
1995	black	male	797.00	63.00	7.90
1994	black	male	763.00	50.00	6.50
1993	black	male	740.00	43.00	5.80
1993	black	male	724.00	41.00	5.70
1992	black	male	702.00	23.00	3.30
1991	black	male	685.00	38.00	5.50
1990	black	male	636.00	26.00	4.10
1989	black	male	684.00	47.00	6.87
1988	black	male	751.00	50.00	6.66
1987	black	male	730.00	45.00	6.16
1986	black	male	711.00	34.00	4.78
1985	black	male	703.00	58.00	8.25
1984	black	male	711.00	44.00	6.19
1983	black	male	687.00	48.00	6.99
1982	black	male	786.00	71.00	9.03
1981	black	male	704.00	66.00	9.38
1980	black	male	714.00	57.00	7.98
1979	black	male	679.00	51.00	7.51
1978	black	male	706.00	78.00	11.05
1977	black	male	746.00	62.00	8.31
1976	black	male	729.00	62.00	8.50
1975	black	male	673.00	56.00	8.32
1974	black	male	679.00	73.00	10.75
1973	black	male	650.00	78.00	12.00
1972	black	male	644.00	65.00	10.09
1971	black	male	552.00	51.00	9.24
1970	black	male	587.00	74.00	12.61
1969	black	male	562.00	58.00	10.32
1968	black	male	523.00	52.00	9.94
1967	black	male	485.00	47.00	9.69
2012	asian	male	331.00	9.00	2.70
2011	asian	male	272.00	4.00	1.50
2010	asian	male	220.00	6.00	2.90
2009	asian	male	215.00	2.00	0.80
2008	asian	male	219.00	0.00	0.20
2007	asian	male	202.00	13.00	6.60
2006	asian	male	237.00	11.00	4.50
2005	asian	male	219.00	5.00	2.40
2004	asian	male	233.25	0.00	0.00
2003	asian	male	236.63	3.36	1.42
2002	asian	male	265.92	7.57	3.00
2001	asian	male	274.00	9.00	3.28
2000	asian	male	178.00	12.00	6.70
1999	asian	male	269.00	13.00	4.80
2012	hispanic	male	1377.00	76.00	5.50
2011	hispanic	male	1260.00	56.00	4.40
2010	hispanic	male	1113.00	30.00	2.70
2009	hispanic	male	1039.00	55.00	5.30
2008	hispanic	male	1052.00	44.00	4.20
2007	hispanic	male	904.00	49.00	5.50
2006	hispanic	male	958.00	61.00	6.30
2005	hispanic	male	910.00	51.00	5.60
2004	hispanic	male	842.14	97.22	11.54
2003	hispanic	male	846.17	64.88	7.67
2002	hispanic	male	800.70	49.80	6.22
2001	hispanic	male	755.00	57.00	7.55
2000	hispanic	male	761.00	54.00	7.10
1999	hispanic	male	729.00	50.00	6.90
1998	hispanic	male	731.00	63.00	8.60
1997	hispanic	male	710.00	74.00	10.40
1996	hispanic	male	588.00	54.00	9.20
1995	hispanic	male	644.00	70.00	10.90
1994	hispanic	male	607.00	51.00	8.40
1993	hispanic	male	488.00	25.00	5.10
1993	hispanic	male	436.00	21.00	4.80
1992	hispanic	male	468.00	27.00	5.80
1991	hispanic	male	396.00	41.00	10.40
1990	hispanic	male	379.00	33.00	8.70
1989	hispanic	male	394.00	30.00	7.61
1988	hispanic	male	398.00	49.00	12.31
1987	hispanic	male	380.00	19.00	5.00
1986	hispanic	male	376.00	44.00	11.70
1985	hispanic	male	333.00	31.00	9.31
1984	hispanic	male	311.00	38.00	12.22
1983	hispanic	male	351.00	48.00	13.68
1982	hispanic	male	370.00	35.00	9.46
1981	hispanic	male	350.00	37.00	10.57
1980	hispanic	male	295.00	50.00	16.95
1979	hispanic	male	295.00	30.00	10.17
1978	hispanic	male	295.00	46.00	15.59
1977	hispanic	male	341.00	35.00	10.26
1976	hispanic	male	300.00	22.00	7.33
1975	hispanic	male	317.00	32.00	10.09
1974	hispanic	male	271.00	34.00	12.55
1973	hispanic	male	240.00	19.00	7.92
1972	hispanic	male	253.00	28.00	11.07
2012	total	female	5965.00	184.00	3.10
2011	total	female	5716.00	169.00	2.90
2010	total	female	5641.00	154.00	2.70
2009	total	female	5853.00	184.00	3.10
2008	total	female	5751.00	216.00	3.80
2007	total	female	5705.00	177.00	3.10
2006	total	female	5672.00	180.00	3.20
2005	total	female	5651.00	181.00	3.20
2004	total	female	5542.24	220.32	3.98
2003	total	female	5673.72	203.31	3.58
2002	total	female	5484.47	174.02	3.17
2001	total	female	5243.00	214.00	4.08
2000	total	female	5356.00	208.00	3.90
1999	total	female	5411.00	277.00	5.10
1998	total	female	5305.00	243.00	4.60
1997	total	female	5313.00	203.00	3.80
1996	total	female	5072.00	244.00	4.80
1995	total	female	4946.00	247.00	5.00
1994	total	female	4873.00	247.00	5.10
1993	total	female	4640.00	192.00	4.14
1993	total	female	4452.00	183.00	4.10
1992	total	female	4357.00	207.00	4.80
1991	total	female	4231.00	180.00	4.30
1990	total	female	4323.00	170.00	3.90
1989	total	female	4453.00	199.00	4.47
1988	total	female	4628.00	206.00	4.45
1987	total	female	4879.00	187.00	3.83
1986	total	female	4917.00	208.00	4.23
1985	total	female	4874.00	245.00	5.03
1984	total	female	5054.00	238.00	4.71
1983	total	female	5200.00	241.00	4.63
1982	total	female	5301.00	271.00	5.11
1981	total	female	5487.00	316.00	5.76
1980	total	female	5448.00	296.00	5.43
1979	total	female	5658.00	377.00	6.66
1978	total	female	5558.00	328.00	5.90
1977	total	female	5643.00	342.00	6.06
1976	total	female	5463.00	285.00	5.22
1975	total	female	5548.00	343.00	6.18
1974	total	female	5605.00	340.00	6.07
1973	total	female	5444.00	313.00	5.75
1972	total	female	5358.00	341.00	6.36
1971	total	female	5258.00	266.00	5.06
1970	total	female	5138.00	302.00	5.88
1969	total	female	5142.00	278.00	5.41
1968	total	female	4983.00	259.00	5.20
1967	total	female	4745.00	249.00	5.25
2012	white	female	4288.00	81.00	1.90
2011	white	female	4256.00	116.00	2.70
2010	white	female	4201.00	94.00	2.20
2009	white	female	4427.00	123.00	2.80
2008	white	female	4353.00	123.00	2.80
2007	white	female	4409.00	120.00	2.70
2006	white	female	4355.00	133.00	3.10
2005	white	female	4382.00	120.00	2.74
2004	white	female	4241.42	148.42	3.50
2003	white	female	4346.60	148.46	3.42
2002	white	female	4264.52	125.87	2.95
2001	white	female	4126.00	158.00	3.83
2000	white	female	4172.00	167.00	4.00
1999	white	female	4238.00	198.00	4.70
1998	white	female	4181.00	183.00	4.40
1997	white	female	4180.00	145.00	3.50
1996	white	female	3928.00	163.00	4.10
1995	white	female	3849.00	183.00	4.80
1994	white	female	3848.00	188.00	4.90
1993	white	female	3654.00	150.00	4.10
1993	white	female	3530.00	143.00	4.10
1992	white	female	3430.00	151.00	4.40
1991	white	female	3343.00	128.00	3.80
1990	white	female	3462.00	122.00	3.50
1989	white	female	3589.00	136.00	3.79
1988	white	female	3712.00	161.00	4.34
1987	white	female	3953.00	135.00	3.42
1986	white	female	4007.00	166.00	4.14
1985	white	female	4003.00	188.00	4.70
1984	white	female	4101.00	190.00	4.63
1983	white	female	4264.00	177.00	4.15
1982	white	female	4390.00	214.00	4.87
1981	white	female	4536.00	224.00	4.94
1980	white	female	4554.00	224.00	4.92
1979	white	female	4742.00	277.00	5.84
1978	white	female	4611.00	244.00	5.29
1977	white	female	4770.00	267.00	5.60
1976	white	female	4654.00	235.00	5.05
1975	white	female	4732.00	274.00	5.79
1974	white	female	4754.00	241.00	5.07
1973	white	female	4649.00	248.00	5.33
1972	white	female	4583.00	272.00	5.93
1971	white	female	4562.00	226.00	4.95
1970	white	female	4462.00	237.00	5.31
1969	white	female	4439.00	221.00	4.98
1968	white	female	4331.00	196.00	4.53
1967	white	female	4126.00	190.00	4.60
2012	black	female	1052.00	75.00	7.10
2011	black	female	978.00	24.00	2.40
2010	black	female	952.00	26.00	2.70
2009	black	female	927.00	42.00	4.60
2008	black	female	943.00	72.00	7.60
2007	black	female	867.00	31.00	3.60
2006	black	female	864.00	37.00	4.30
2005	black	female	820.00	51.00	6.20
2004	black	female	883.14	50.04	5.67
2003	black	female	885.61	42.99	4.85
2002	black	female	882.34	33.46	3.79
2001	black	female	827.00	45.00	5.44
2000	black	female	888.00	34.00	3.80
1999	black	female	870.00	59.00	6.80
1998	black	female	841.00	46.00	5.50
1997	black	female	866.00	49.00	5.70
1996	black	female	901.00	70.00	7.80
1995	black	female	802.00	35.00	4.40
1994	black	female	795.00	45.00	5.70
1993	black	female	758.00	37.00	4.90
1993	black	female	722.00	36.00	5.00
1992	black	female	720.00	48.00	6.70
1991	black	female	683.00	48.00	7.00
1990	black	female	666.00	40.00	6.00
1989	black	female	701.00	60.00	8.56
1988	black	female	717.00	43.00	6.00
1987	black	female	732.00	47.00	6.42
1986	black	female	737.00	34.00	4.61
1985	black	female	719.00	52.00	7.23
1984	black	female	813.00	43.00	5.29
1983	black	female	810.00	55.00	6.79
1982	black	female	767.00	50.00	6.52
1981	black	female	815.00	83.00	10.18
1980	black	female	781.00	66.00	8.45
1979	black	female	802.00	92.00	11.47
1978	black	female	835.00	81.00	9.70
1977	black	female	789.00	71.00	9.00
1976	black	female	721.00	45.00	6.24
1975	black	female	743.00	67.00	9.02
1974	black	female	761.00	93.00	12.22
1973	black	female	725.00	61.00	8.41
1972	black	female	756.00	68.00	8.99
1971	black	female	643.00	37.00	5.75
1970	black	female	606.00	60.00	9.90
1969	black	female	646.00	55.00	8.51
1968	black	female	600.00	61.00	10.17
1967	black	female	578.00	58.00	10.03
2012	asian	female	261.00	10.00	3.80
2011	asian	female	223.00	13.00	6.00
2010	asian	female	199.00	5.00	2.60
2009	asian	female	210.00	5.00	2.60
2008	asian	female	210.00	16.00	7.80
2007	asian	female	202.00	17.00	8.30
2006	asian	female	208.00	8.00	3.70
2005	asian	female	206.00	1.00	0.50
2004	asian	female	219.11	4.18	1.91
2003	asian	female	220.60	7.48	3.39
2002	asian	female	248.89	4.24	1.60
2001	asian	female	197.00	1.00	0.51
2000	asian	female	221.00	1.00	0.50
1999	asian	female	253.00	12.00	4.70
2012	hispanic	female	1294.00	60.00	4.60
2011	hispanic	female	1116.00	44.00	4.00
2010	hispanic	female	1018.00	51.00	5.00
2009	hispanic	female	1090.00	59.00	5.40
2008	hispanic	female	1011.00	57.00	5.60
2007	hispanic	female	882.00	49.00	5.60
2006	hispanic	female	965.00	63.00	6.60
2005	hispanic	female	904.00	35.00	3.90
2004	hispanic	female	881.04	40.36	4.58
2003	hispanic	female	945.38	51.48	5.45
2002	hispanic	female	814.32	36.39	4.40
2001	hispanic	female	732.00	64.00	8.74
2000	hispanic	female	704.00	46.00	6.50
1999	hispanic	female	751.00	55.00	7.30
1998	hispanic	female	637.00	52.00	8.20
1997	hispanic	female	668.00	45.00	6.70
1996	hispanic	female	608.00	46.00	7.60
1995	hispanic	female	608.00	76.00	12.50
1994	hispanic	female	572.00	58.00	10.10
1993	hispanic	female	573.00	44.00	7.50
1993	hispanic	female	508.00	39.00	7.70
1992	hispanic	female	441.00	38.00	8.60
1991	hispanic	female	417.00	20.00	4.80
1990	hispanic	female	428.00	31.00	7.20
1989	hispanic	female	366.00	28.00	7.65
1988	hispanic	female	333.00	28.00	8.41
1987	hispanic	female	389.00	24.00	6.17
1986	hispanic	female	388.00	48.00	12.37
1985	hispanic	female	396.00	39.00	9.85
1984	hispanic	female	396.00	40.00	10.10
1983	hispanic	female	340.00	21.00	6.18
1982	hispanic	female	321.00	29.00	9.03
1981	hispanic	female	367.00	40.00	10.90
1980	hispanic	female	350.00	24.00	6.86
1979	hispanic	female	298.00	27.00	9.06
1978	hispanic	female	271.00	23.00	8.49
1977	hispanic	female	287.00	15.00	5.23
1976	hispanic	female	336.00	23.00	6.85
1975	hispanic	female	294.00	34.00	11.56
1974	hispanic	female	278.00	20.00	7.19
1973	hispanic	female	259.00	31.00	11.97
1972	hispanic	female	247.00	27.00	10.93
