country,year,code,religion,value
Afghanistan,CY 2012,578,Moslem,46
Afghanistan,CY 2013,678,Moslem,68
Afghanistan,CY 2014,472,Moslem,45
Afghanistan,CY 2002,2026,Moslem Ismaici,0
Afghanistan,CY 2003,1370,Moslem Ismaici,13
Afghanistan,CY 2004,836,Moslem Ismaici,0
Afghanistan,CY 2005,876,Moslem Ismaici,0
Afghanistan,CY 2006,633,Moslem Ismaici,26
Afghanistan,CY 2007,413,Moslem Ismaici,11
Afghanistan,CY 2008,611,Moslem Ismaici,16
Afghanistan,CY 2009,338,Moslem Ismaici,1
Afghanistan,CY 2010,527,Moslem Ismaici,28
Afghanistan,CY 2011,392,Moslem Ismaici,0
Afghanistan,CY 2012,578,Moslem Ismaici,0
Afghanistan,CY 2013,678,Moslem Ismaici,2
Afghanistan,CY 2014,472,Moslem Ismaici,4
Afghanistan,CY 2002,2026,Moslem Shiite,534
Afghanistan,CY 2003,1370,Moslem Shiite,294
Afghanistan,CY 2004,836,Moslem Shiite,183
Afghanistan,CY 2005,876,Moslem Shiite,192
Afghanistan,CY 2006,633,Moslem Shiite,91
Afghanistan,CY 2007,413,Moslem Shiite,70
Afghanistan,CY 2008,611,Moslem Shiite,64
Afghanistan,CY 2009,338,Moslem Shiite,33
Afghanistan,CY 2010,527,Moslem Shiite,108
Afghanistan,CY 2011,392,Moslem Shiite,123
Afghanistan,CY 2012,578,Moslem Shiite,226
Afghanistan,CY 2013,678,Moslem Shiite,248
Afghanistan,CY 2014,472,Moslem Shiite,194
Afghanistan,CY 2002,2026,Moslem Suni,788
Afghanistan,CY 2003,1370,Moslem Suni,680
Afghanistan,CY 2004,836,Moslem Suni,517
Afghanistan,CY 2005,876,Moslem Suni,583
Afghanistan,CY 2006,633,Moslem Suni,394
Afghanistan,CY 2007,413,Moslem Suni,283
Afghanistan,CY 2008,611,Moslem Suni,504
Afghanistan,CY 2009,338,Moslem Suni,242
Afghanistan,CY 2010,527,Moslem Suni,298
Afghanistan,CY 2011,392,Moslem Suni,206
Afghanistan,CY 2012,578,Moslem Suni,287
Afghanistan,CY 2013,678,Moslem Suni,350
Afghanistan,CY 2014,472,Moslem Suni,208
Afghanistan,CY 2002,2026,No Religion,0
Afghanistan,CY 2003,1370,No Religion,0
Afghanistan,CY 2004,836,No Religion,0
Afghanistan,CY 2005,876,No Religion,0
Afghanistan,CY 2006,633,No Religion,0
Afghanistan,CY 2007,413,No Religion,0
Afghanistan,CY 2008,611,No Religion,1
Afghanistan,CY 2009,338,No Religion,0
Afghanistan,CY 2010,527,No Religion,0
Afghanistan,CY 2011,392,No Religion,0
Afghanistan,CY 2012,578,No Religion,1
Afghanistan,CY 2013,678,No Religion,0
Afghanistan,CY 2014,472,No Religion,6
Afghanistan,CY 2002,2026,Other Religion,0
Afghanistan,CY 2003,1370,Other Religion,2
Afghanistan,CY 2004,836,Other Religion,0
Afghanistan,CY 2005,876,Other Religion,2
Afghanistan,CY 2006,633,Other Religion,0
Afghanistan,CY 2007,413,Other Religion,0
Afghanistan,CY 2008,611,Other Religion,0
Afghanistan,CY 2009,338,Other Religion,3
Afghanistan,CY 2010,527,Other Religion,1
Afghanistan,CY 2011,392,Other Religion,0
Afghanistan,CY 2012,578,Other Religion,0
Afghanistan,CY 2013,678,Other Religion,0
Afghanistan,CY 2014,472,Other Religion,0
Afghanistan,CY 2002,2026,Protestant,1
Afghanistan,CY 2003,1370,Protestant,0
Afghanistan,CY 2004,836,Protestant,0
Afghanistan,CY 2005,876,Protestant,2
Afghanistan,CY 2006,633,Protestant,0
Afghanistan,CY 2007,413,Protestant,0
Afghanistan,CY 2008,611,Protestant,1
Afghanistan,CY 2009,338,Protestant,0
Afghanistan,CY 2010,527,Protestant,5
Afghanistan,CY 2011,392,Protestant,0
Afghanistan,CY 2012,578,Protestant,1
Afghanistan,CY 2013,678,Protestant,0
Afghanistan,CY 2014,472,Protestant,8
Afghanistan,CY 2002,2026,Russian Orthodox,0
Afghanistan,CY 2003,1370,Russian Orthodox,0
Afghanistan,CY 2004,836,Russian Orthodox,0
Afghanistan,CY 2005,876,Russian Orthodox,0
Afghanistan,CY 2006,633,Russian Orthodox,0
Afghanistan,CY 2007,413,Russian Orthodox,0
Afghanistan,CY 2008,611,Russian Orthodox,0
Afghanistan,CY 2009,338,Russian Orthodox,0
Afghanistan,CY 2010,527,Russian Orthodox,0
Afghanistan,CY 2011,392,Russian Orthodox,1
Afghanistan,CY 2012,578,Russian Orthodox,0
Afghanistan,CY 2013,678,Russian Orthodox,0
Afghanistan,CY 2014,472,Russian Orthodox,0
Afghanistan,CY 2002,2026,Seventh Day Adventist,0
Afghanistan,CY 2003,1370,Seventh Day Adventist,0
Afghanistan,CY 2004,836,Seventh Day Adventist,0
Afghanistan,CY 2005,876,Seventh Day Adventist,0
Afghanistan,CY 2006,633,Seventh Day Adventist,0
Afghanistan,CY 2007,413,Seventh Day Adventist,0
Afghanistan,CY 2008,611,Seventh Day Adventist,0
Afghanistan,CY 2009,338,Seventh Day Adventist,0
Afghanistan,CY 2010,527,Seventh Day Adventist,3
Afghanistan,CY 2011,392,Seventh Day Adventist,0
Afghanistan,CY 2012,578,Seventh Day Adventist,0
Afghanistan,CY 2013,678,Seventh Day Adventist,1
Afghanistan,CY 2014,472,Seventh Day Adventist,0
Afghanistan,CY 2002,2026,Unknown,1
Afghanistan,CY 2003,1370,Unknown,6
Afghanistan,CY 2004,836,Unknown,2
Afghanistan,CY 2005,876,Unknown,2
Afghanistan,CY 2006,633,Unknown,2
Afghanistan,CY 2007,413,Unknown,0
Afghanistan,CY 2008,611,Unknown,0
Afghanistan,CY 2009,338,Unknown,2
Afghanistan,CY 2010,527,Unknown,0
Afghanistan,CY 2011,392,Unknown,0
Afghanistan,CY 2012,578,Unknown,0
Afghanistan,CY 2013,678,Unknown,0
Afghanistan,CY 2014,472,Unknown,0
Albania,CY 2002,5,Moslem,0
Albania,CY 2003,4,Moslem,4
Albania,CY 2004,0,Moslem,0
Albania,CY 2005,0,Moslem,0
Albania,CY 2006,1,Moslem,0
Albania,CY 2007,0,Moslem,0
Albania,CY 2008,1,Moslem,1
Albania,CY 2009,1,Moslem,0
Albania,CY 2010,0,Moslem,0
Albania,CY 2011,0,Moslem,0
Albania,CY 2012,0,Moslem,0
Albania,CY 2013,0,Moslem,0
Albania,CY 2014,0,Moslem,0
Albania,CY 2002,5,Orthodox,0
Albania,CY 2003,4,Orthodox,0
Albania,CY 2004,0,Orthodox,0
Albania,CY 2005,0,Orthodox,0
Albania,CY 2006,1,Orthodox,0
Albania,CY 2007,0,Orthodox,0
Albania,CY 2008,1,Orthodox,0
Albania,CY 2009,1,Orthodox,1
Albania,CY 2010,0,Orthodox,0
Albania,CY 2011,0,Orthodox,0
Albania,CY 2012,0,Orthodox,0
Albania,CY 2013,0,Orthodox,0
Albania,CY 2014,0,Orthodox,0
Albania,CY 2002,5,Unknown,5
Albania,CY 2003,4,Unknown,0
Albania,CY 2004,0,Unknown,0
Albania,CY 2005,0,Unknown,0
Albania,CY 2006,1,Unknown,1
Albania,CY 2007,0,Unknown,0
Albania,CY 2008,1,Unknown,0
Albania,CY 2009,1,Unknown,0
Albania,CY 2010,0,Unknown,0
Albania,CY 2011,0,Unknown,0
Albania,CY 2012,0,Unknown,0
Albania,CY 2013,0,Unknown,0
Albania,CY 2014,0,Unknown,0
Algeria,CY 2002,0,Moslem,0
Algeria,CY 2003,4,Moslem,4
Algeria,CY 2004,1,Moslem,1
Algeria,CY 2005,1,Moslem,1
Algeria,CY 2006,1,Moslem,0
Algeria,CY 2007,0,Moslem,0
Algeria,CY 2008,0,Moslem,0
Algeria,CY 2009,0,Moslem,0
Algeria,CY 2010,2,Moslem,2
Algeria,CY 2011,0,Moslem,0
Algeria,CY 2012,0,Moslem,0
Algeria,CY 2013,2,Moslem,0
Algeria,CY 2014,0,Moslem,0
Algeria,CY 2002,0,Moslem Suni,0
Algeria,CY 2003,4,Moslem Suni,0
Algeria,CY 2004,1,Moslem Suni,0
Algeria,CY 2005,1,Moslem Suni,0
Algeria,CY 2006,1,Moslem Suni,1
Algeria,CY 2007,0,Moslem Suni,0
Algeria,CY 2008,0,Moslem Suni,0
Algeria,CY 2009,0,Moslem Suni,0
Algeria,CY 2010,2,Moslem Suni,0
Algeria,CY 2011,0,Moslem Suni,0
Algeria,CY 2012,0,Moslem Suni,0
Algeria,CY 2013,2,Moslem Suni,0
Algeria,CY 2014,0,Moslem Suni,0
Algeria,CY 2002,0,Protestant,0
Algeria,CY 2003,4,Protestant,0
Algeria,CY 2004,1,Protestant,0
Algeria,CY 2005,1,Protestant,0
Algeria,CY 2006,1,Protestant,0
Algeria,CY 2007,0,Protestant,0
Algeria,CY 2008,0,Protestant,0
Algeria,CY 2009,0,Protestant,0
Algeria,CY 2010,2,Protestant,0
Algeria,CY 2011,0,Protestant,0
Algeria,CY 2012,0,Protestant,0
Algeria,CY 2013,2,Protestant,2
Algeria,CY 2014,0,Protestant,0
Angola,CY 2002,15,Catholic,1
Angola,CY 2003,21,Catholic,9
Angola,CY 2004,25,Catholic,6
Angola,CY 2005,16,Catholic,11
Angola,CY 2006,17,Catholic,10
Angola,CY 2007,0,Catholic,0
Angola,CY 2008,1,Catholic,0
Angola,CY 2009,7,Catholic,0
Angola,CY 2010,0,Catholic,0
Angola,CY 2011,2,Catholic,0
Angola,CY 2012,0,Catholic,0
Angola,CY 2013,6,Catholic,0
Angola,CY 2014,0,Catholic,0
Angola,CY 2002,15,Christian,8
Angola,CY 2003,21,Christian,5
Angola,CY 2004,25,Christian,14
Angola,CY 2005,16,Christian,0
Angola,CY 2006,17,Christian,3
Angola,CY 2007,0,Christian,0
Angola,CY 2008,1,Christian,1
Angola,CY 2009,7,Christian,0
Angola,CY 2010,0,Christian,0
Angola,CY 2011,2,Christian,0
Angola,CY 2012,0,Christian,0
Angola,CY 2013,6,Christian,0
Angola,CY 2014,0,Christian,0
Angola,CY 2002,15,Jehovah Witness,6
Angola,CY 2003,21,Jehovah Witness,0
Angola,CY 2004,25,Jehovah Witness,0
Angola,CY 2005,16,Jehovah Witness,0
Angola,CY 2006,17,Jehovah Witness,0
Angola,CY 2007,0,Jehovah Witness,0
Angola,CY 2008,1,Jehovah Witness,0
Angola,CY 2009,7,Jehovah Witness,0
Angola,CY 2010,0,Jehovah Witness,0
Angola,CY 2011,2,Jehovah Witness,0
Angola,CY 2012,0,Jehovah Witness,0
Angola,CY 2013,6,Jehovah Witness,0
Angola,CY 2014,0,Jehovah Witness,0
Angola,CY 2002,15,Protestant,0
Angola,CY 2003,21,Protestant,6
Angola,CY 2004,25,Protestant,5
Angola,CY 2005,16,Protestant,5
Angola,CY 2006,17,Protestant,4
Angola,CY 2007,0,Protestant,0
Angola,CY 2008,1,Protestant,0
Angola,CY 2009,7,Protestant,7
Angola,CY 2010,0,Protestant,0
Angola,CY 2011,2,Protestant,2
Angola,CY 2012,0,Protestant,0
Angola,CY 2013,6,Protestant,6
Angola,CY 2014,0,Protestant,0
Angola,CY 2002,15,Unknown,0
Angola,CY 2003,21,Unknown,1
Angola,CY 2004,25,Unknown,0
Angola,CY 2005,16,Unknown,0
Angola,CY 2006,17,Unknown,0
Angola,CY 2007,0,Unknown,0
Angola,CY 2008,1,Unknown,0
Angola,CY 2009,7,Unknown,0
Angola,CY 2010,0,Unknown,0
Angola,CY 2011,2,Unknown,0
Angola,CY 2012,0,Unknown,0
Angola,CY 2013,6,Unknown,0
Angola,CY 2014,0,Unknown,0
Armenia,CY 2002,34,Christian,0
Armenia,CY 2003,70,Christian,0
Armenia,CY 2004,69,Christian,0
Armenia,CY 2005,104,Christian,0
Armenia,CY 2006,71,Christian,0
Armenia,CY 2007,32,Christian,0
Armenia,CY 2008,0,Christian,0
Armenia,CY 2009,4,Christian,3
Armenia,CY 2010,4,Christian,0
Armenia,CY 2011,12,Christian,0
Armenia,CY 2012,8,Christian,0
Armenia,CY 2013,3,Christian,1
Armenia,CY 2014,10,Christian,0
Armenia,CY 2002,34,Evangelical Christian,0
Armenia,CY 2003,70,Evangelical Christian,0
Armenia,CY 2004,69,Evangelical Christian,0
Armenia,CY 2005,104,Evangelical Christian,0
Armenia,CY 2006,71,Evangelical Christian,0
Armenia,CY 2007,32,Evangelical Christian,0
Armenia,CY 2008,0,Evangelical Christian,0
Armenia,CY 2009,4,Evangelical Christian,0
Armenia,CY 2010,4,Evangelical Christian,0
Armenia,CY 2011,12,Evangelical Christian,7
Armenia,CY 2012,8,Evangelical Christian,0
Armenia,CY 2013,3,Evangelical Christian,0
Armenia,CY 2014,10,Evangelical Christian,0
Armenia,CY 2002,34,Jehovah Witness,5
Armenia,CY 2003,70,Jehovah Witness,0
Armenia,CY 2004,69,Jehovah Witness,0
Armenia,CY 2005,104,Jehovah Witness,0
Armenia,CY 2006,71,Jehovah Witness,1
Armenia,CY 2007,32,Jehovah Witness,0
Armenia,CY 2008,0,Jehovah Witness,0
Armenia,CY 2009,4,Jehovah Witness,0
Armenia,CY 2010,4,Jehovah Witness,0
Armenia,CY 2011,12,Jehovah Witness,2
Armenia,CY 2012,8,Jehovah Witness,0
Armenia,CY 2013,3,Jehovah Witness,0
Armenia,CY 2014,10,Jehovah Witness,0
Armenia,CY 2002,34,Jewish,1
Armenia,CY 2003,70,Jewish,2
Armenia,CY 2004,69,Jewish,0
Armenia,CY 2005,104,Jewish,0
Armenia,CY 2006,71,Jewish,0
Armenia,CY 2007,32,Jewish,0
Armenia,CY 2008,0,Jewish,0
Armenia,CY 2009,4,Jewish,0
Armenia,CY 2010,4,Jewish,0
Armenia,CY 2011,12,Jewish,0
Armenia,CY 2012,8,Jewish,0
Armenia,CY 2013,3,Jewish,0
Armenia,CY 2014,10,Jewish,0
Armenia,CY 2002,34,Pentecostalist,27
Armenia,CY 2003,70,Pentecostalist,68
Armenia,CY 2004,69,Pentecostalist,69
Armenia,CY 2005,104,Pentecostalist,104
Armenia,CY 2006,71,Pentecostalist,70
Armenia,CY 2007,32,Pentecostalist,32
Armenia,CY 2008,0,Pentecostalist,0
Armenia,CY 2009,4,Pentecostalist,1
Armenia,CY 2010,4,Pentecostalist,4
Armenia,CY 2011,12,Pentecostalist,3
Armenia,CY 2012,8,Pentecostalist,8
Armenia,CY 2013,3,Pentecostalist,2
Armenia,CY 2014,10,Pentecostalist,10
Armenia,CY 2002,34,Unknown,1
Armenia,CY 2003,70,Unknown,0
Armenia,CY 2004,69,Unknown,0
Armenia,CY 2005,104,Unknown,0
Armenia,CY 2006,71,Unknown,0
Armenia,CY 2007,32,Unknown,0
Armenia,CY 2008,0,Unknown,0
Armenia,CY 2009,4,Unknown,0
Armenia,CY 2010,4,Unknown,0
Armenia,CY 2011,12,Unknown,0
Armenia,CY 2012,8,Unknown,0
Armenia,CY 2013,3,Unknown,0
Armenia,CY 2014,10,Unknown,0
Azerbaijan,CY 2002,141,Baptist,0
Azerbaijan,CY 2003,475,Baptist,1
Azerbaijan,CY 2004,404,Baptist,0
Azerbaijan,CY 2005,225,Baptist,0
Azerbaijan,CY 2006,96,Baptist,1
Azerbaijan,CY 2007,36,Baptist,6
Azerbaijan,CY 2008,42,Baptist,17
Azerbaijan,CY 2009,34,Baptist,0
Azerbaijan,CY 2010,21,Baptist,0
Azerbaijan,CY 2011,6,Baptist,0
Azerbaijan,CY 2012,12,Baptist,0
Azerbaijan,CY 2013,0,Baptist,0
Azerbaijan,CY 2014,11,Baptist,0
Azerbaijan,CY 2002,141,Christian,3
Azerbaijan,CY 2003,475,Christian,136
Azerbaijan,CY 2004,404,Christian,56
Azerbaijan,CY 2005,225,Christian,30
Azerbaijan,CY 2006,96,Christian,21
Azerbaijan,CY 2007,36,Christian,12
Azerbaijan,CY 2008,42,Christian,0
Azerbaijan,CY 2009,34,Christian,6
Azerbaijan,CY 2010,21,Christian,0
Azerbaijan,CY 2011,6,Christian,0
Azerbaijan,CY 2012,12,Christian,0
Azerbaijan,CY 2013,0,Christian,0
Azerbaijan,CY 2014,11,Christian,0
Azerbaijan,CY 2002,141,Evangelical Christian,0
Azerbaijan,CY 2003,475,Evangelical Christian,4
Azerbaijan,CY 2004,404,Evangelical Christian,0
Azerbaijan,CY 2005,225,Evangelical Christian,0
Azerbaijan,CY 2006,96,Evangelical Christian,0
Azerbaijan,CY 2007,36,Evangelical Christian,0
Azerbaijan,CY 2008,42,Evangelical Christian,0
Azerbaijan,CY 2009,34,Evangelical Christian,0
Azerbaijan,CY 2010,21,Evangelical Christian,0
Azerbaijan,CY 2011,6,Evangelical Christian,2
Azerbaijan,CY 2012,12,Evangelical Christian,0
Azerbaijan,CY 2013,0,Evangelical Christian,0
Azerbaijan,CY 2014,11,Evangelical Christian,11
Azerbaijan,CY 2002,141,Jehovah Witness,0
Azerbaijan,CY 2003,475,Jehovah Witness,0
Azerbaijan,CY 2004,404,Jehovah Witness,0
Azerbaijan,CY 2005,225,Jehovah Witness,3
Azerbaijan,CY 2006,96,Jehovah Witness,0
Azerbaijan,CY 2007,36,Jehovah Witness,0
Azerbaijan,CY 2008,42,Jehovah Witness,0
Azerbaijan,CY 2009,34,Jehovah Witness,0
Azerbaijan,CY 2010,21,Jehovah Witness,0
Azerbaijan,CY 2011,6,Jehovah Witness,0
Azerbaijan,CY 2012,12,Jehovah Witness,0
Azerbaijan,CY 2013,0,Jehovah Witness,0
Azerbaijan,CY 2014,11,Jehovah Witness,0
Azerbaijan,CY 2002,141,Jewish,127
Azerbaijan,CY 2003,475,Jewish,61
Azerbaijan,CY 2004,404,Jewish,92
Azerbaijan,CY 2005,225,Jewish,68
Azerbaijan,CY 2006,96,Jewish,65
Azerbaijan,CY 2007,36,Jewish,17
Azerbaijan,CY 2008,42,Jewish,21
Azerbaijan,CY 2009,34,Jewish,25
Azerbaijan,CY 2010,21,Jewish,8
Azerbaijan,CY 2011,6,Jewish,0
Azerbaijan,CY 2012,12,Jewish,9
Azerbaijan,CY 2013,0,Jewish,0
Azerbaijan,CY 2014,11,Jewish,0
Azerbaijan,CY 2002,141,Moslem,0
Azerbaijan,CY 2003,475,Moslem,0
Azerbaijan,CY 2004,404,Moslem,0
Azerbaijan,CY 2005,225,Moslem,0
Azerbaijan,CY 2006,96,Moslem,4
Azerbaijan,CY 2007,36,Moslem,0
Azerbaijan,CY 2008,42,Moslem,4
Azerbaijan,CY 2009,34,Moslem,0
Azerbaijan,CY 2010,21,Moslem,4
Azerbaijan,CY 2011,6,Moslem,0
Azerbaijan,CY 2012,12,Moslem,0
Azerbaijan,CY 2013,0,Moslem,0
Azerbaijan,CY 2014,11,Moslem,0
Azerbaijan,CY 2002,141,Moslem Shiite,0
Azerbaijan,CY 2003,475,Moslem Shiite,0
Azerbaijan,CY 2004,404,Moslem Shiite,0
Azerbaijan,CY 2005,225,Moslem Shiite,2
Azerbaijan,CY 2006,96,Moslem Shiite,0
Azerbaijan,CY 2007,36,Moslem Shiite,0
Azerbaijan,CY 2008,42,Moslem Shiite,0
Azerbaijan,CY 2009,34,Moslem Shiite,3
Azerbaijan,CY 2010,21,Moslem Shiite,0
Azerbaijan,CY 2011,6,Moslem Shiite,1
Azerbaijan,CY 2012,12,Moslem Shiite,3
Azerbaijan,CY 2013,0,Moslem Shiite,0
Azerbaijan,CY 2014,11,Moslem Shiite,0
Azerbaijan,CY 2002,141,Moslem Suni,0
Azerbaijan,CY 2003,475,Moslem Suni,0
Azerbaijan,CY 2004,404,Moslem Suni,0
Azerbaijan,CY 2005,225,Moslem Suni,0
Azerbaijan,CY 2006,96,Moslem Suni,0
Azerbaijan,CY 2007,36,Moslem Suni,1
Azerbaijan,CY 2008,42,Moslem Suni,0
Azerbaijan,CY 2009,34,Moslem Suni,0
Azerbaijan,CY 2010,21,Moslem Suni,2
Azerbaijan,CY 2011,6,Moslem Suni,0
Azerbaijan,CY 2012,12,Moslem Suni,0
Azerbaijan,CY 2013,0,Moslem Suni,0
Azerbaijan,CY 2014,11,Moslem Suni,0
Azerbaijan,CY 2002,141,No Religion,5
Azerbaijan,CY 2003,475,No Religion,6
Azerbaijan,CY 2004,404,No Religion,3
Azerbaijan,CY 2005,225,No Religion,4
Azerbaijan,CY 2006,96,No Religion,1
Azerbaijan,CY 2007,36,No Religion,0
Azerbaijan,CY 2008,42,No Religion,0
Azerbaijan,CY 2009,34,No Religion,0
Azerbaijan,CY 2010,21,No Religion,0
Azerbaijan,CY 2011,6,No Religion,0
Azerbaijan,CY 2012,12,No Religion,0
Azerbaijan,CY 2013,0,No Religion,0
Azerbaijan,CY 2014,11,No Religion,0
Azerbaijan,CY 2002,141,Orthodox,3
Azerbaijan,CY 2003,475,Orthodox,3
Azerbaijan,CY 2004,404,Orthodox,1
Azerbaijan,CY 2005,225,Orthodox,2
Azerbaijan,CY 2006,96,Orthodox,3
Azerbaijan,CY 2007,36,Orthodox,0
Azerbaijan,CY 2008,42,Orthodox,0
Azerbaijan,CY 2009,34,Orthodox,0
Azerbaijan,CY 2010,21,Orthodox,7
Azerbaijan,CY 2011,6,Orthodox,3
Azerbaijan,CY 2012,12,Orthodox,0
Azerbaijan,CY 2013,0,Orthodox,0
Azerbaijan,CY 2014,11,Orthodox,0
Azerbaijan,CY 2002,141,Pentecostalist,0
Azerbaijan,CY 2003,475,Pentecostalist,3
Azerbaijan,CY 2004,404,Pentecostalist,0
Azerbaijan,CY 2005,225,Pentecostalist,0
Azerbaijan,CY 2006,96,Pentecostalist,0
Azerbaijan,CY 2007,36,Pentecostalist,0
Azerbaijan,CY 2008,42,Pentecostalist,0
Azerbaijan,CY 2009,34,Pentecostalist,0
Azerbaijan,CY 2010,21,Pentecostalist,0
Azerbaijan,CY 2011,6,Pentecostalist,0
Azerbaijan,CY 2012,12,Pentecostalist,0
Azerbaijan,CY 2013,0,Pentecostalist,0
Azerbaijan,CY 2014,11,Pentecostalist,0
Azerbaijan,CY 2002,141,Unknown,3
Azerbaijan,CY 2003,475,Unknown,261
Azerbaijan,CY 2004,404,Unknown,252
Azerbaijan,CY 2005,225,Unknown,116
Azerbaijan,CY 2006,96,Unknown,1
Azerbaijan,CY 2007,36,Unknown,0
Azerbaijan,CY 2008,42,Unknown,0
Azerbaijan,CY 2009,34,Unknown,0
Azerbaijan,CY 2010,21,Unknown,0
Azerbaijan,CY 2011,6,Unknown,0
Azerbaijan,CY 2012,12,Unknown,0
Azerbaijan,CY 2013,0,Unknown,0
Azerbaijan,CY 2014,11,Unknown,0
Bangladesh,CY 2002,0,Christian,0
Bangladesh,CY 2003,1,Christian,0
Bangladesh,CY 2004,0,Christian,0
Bangladesh,CY 2005,0,Christian,0
Bangladesh,CY 2006,2,Christian,1
Bangladesh,CY 2007,0,Christian,0
Bangladesh,CY 2008,0,Christian,0
Bangladesh,CY 2009,0,Christian,0
Bangladesh,CY 2010,2,Christian,0
Bangladesh,CY 2011,0,Christian,0
Bangladesh,CY 2012,0,Christian,0
Bangladesh,CY 2013,1,Christian,0
Bangladesh,CY 2014,2,Christian,2
Bangladesh,CY 2002,0,Hindu,0
Bangladesh,CY 2003,1,Hindu,0
Bangladesh,CY 2004,0,Hindu,0
