letter	language	frequency
r	Dutch	6.41
s	Dutch	5.73
t	Dutch	6.92
u	Dutch	2.19
v	Dutch	1.85
w	Dutch	1.82
x	Dutch	0.04
y	Dutch	0.04
z	Dutch	1.37
ß	Dutch	0
à	Dutch	0
á	Dutch	0
â	Dutch	0
ã	Dutch	0
ä	Dutch	0
å	Dutch	0
æ	Dutch	0
ç	Dutch	0
è	Dutch	0
é	Dutch	0
ê	Dutch	0
ë	Dutch	0
ì	Dutch	0
í	Dutch	0
î	Dutch	0
ï	Dutch	0
ð	Dutch	0
ñ	Dutch	0
ò	Dutch	0
ó	Dutch	0
ô	Dutch	0
ö	Dutch	0
ø	Dutch	0
ù	Dutch	0
ú	Dutch	0
ü	Dutch	0
ý	Dutch	0
þ	Dutch	0
ą	Dutch	0
ć	Dutch	0
ĉ	Dutch	0
ę	Dutch	0
ĝ	Dutch	0
ğ	Dutch	0
ĥ	Dutch	0
ı	Dutch	0
ĵ	Dutch	0
ł	Dutch	0
ń	Dutch	0
œ	Dutch	0
ś	Dutch	0
ŝ	Dutch	0
ş	Dutch	0
ŭ	Dutch	0
ź	Dutch	0
ż	Dutch	0
a	Danish	6.03
b	Danish	2
c	Danish	0.57
d	Danish	5.86
e	Danish	15.45
f	Danish	2.41
g	Danish	4.08
h	Danish	1.62
i	Danish	6
j	Danish	0.73
k	Danish	3.4
l	Danish	5.23
m	Danish	3.24
n	Danish	7.24
o	Danish	4.64
p	Danish	1.76
q	Danish	0.01
r	Danish	8.96
s	Danish	5.81
t	Danish	6.86
u	Danish	1.98
v	Danish	2.33
w	Danish	0.07
x	Danish	0.03
y	Danish	0.7
z	Danish	0.03
ß	Danish	0
à	Danish	0
á	Danish	0
â	Danish	0
ã	Danish	0
ä	Danish	0
å	Danish	1.19
æ	Danish	0.87
ç	Danish	0
è	Danish	0
é	Danish	0
ê	Danish	0
ë	Danish	0
ì	Danish	0
í	Danish	0
î	Danish	0
ï	Danish	0
ð	Danish	0
ñ	Danish	0
ò	Danish	0
ó	Danish	0
ô	Danish	0
ö	Danish	0
ø	Danish	0.94
ù	Danish	0
ú	Danish	0
ü	Danish	0
ý	Danish	0
þ	Danish	0
ą	Danish	0
ć	Danish	0
ĉ	Danish	0
ę	Danish	0
ĝ	Danish	0
ğ	Danish	0
ĥ	Danish	0
ı	Danish	0
ĵ	Danish	0
ł	Danish	0
ń	Danish	0
œ	Danish	0
ś	Danish	0
ŝ	Danish	0
ş	Danish	0
ŭ	Danish	0
ź	Danish	0
ż	Danish	0
a	Icelandic	10.11
b	Icelandic	1.04
c	Icelandic	0
d	Icelandic	1.58
e	Icelandic	6.42
f	Icelandic	3.01
g	Icelandic	4.24
h	Icelandic	1.87
i	Icelandic	7.58
j	Icelandic	1.14
k	Icelandic	3.31
l	Icelandic	4.53
m	Icelandic	4.04
n	Icelandic	7.71
o	Icelandic	2.17
p	Icelandic	0.79
q	Icelandic	0
r	Icelandic	8.58
s	Icelandic	5.63
t	Icelandic	4.95
u	Icelandic	4.56
v	Icelandic	2.44
w	Icelandic	0
x	Icelandic	0.05
y	Icelandic	0.9
z	Icelandic	0
ß	Icelandic	0
à	Icelandic	0
á	Icelandic	1.8
â	Icelandic	0
ã	Icelandic	0
ä	Icelandic	0
å	Icelandic	0
æ	Icelandic	0.87
ç	Icelandic	0
è	Icelandic	0
é	Icelandic	0.65
ê	Icelandic	0
ë	Icelandic	0
ì	Icelandic	0
í	Icelandic	1.57
î	Icelandic	0
ï	Icelandic	0
ð	Icelandic	4.39
ñ	Icelandic	0
ò	Icelandic	0
ó	Icelandic	0.99
ô	Icelandic	0
ö	Icelandic	0.78
ø	Icelandic	0
ù	Icelandic	0
ú	Icelandic	0.61
ü	Icelandic	0
ý	Icelandic	0.23
þ	Icelandic	1.46
ą	Icelandic	0
ć	Icelandic	0
ĉ	Icelandic	0
ę	Icelandic	0
ĝ	Icelandic	0
ğ	Icelandic	0
ĥ	Icelandic	0
ı	Icelandic	0
ĵ	Icelandic	0
ł	Icelandic	0
ń	Icelandic	0
œ	Icelandic	0
ś	Icelandic	0
ŝ	Icelandic	0
ş	Icelandic	0
ŭ	Icelandic	0
ź	Icelandic	0
ż	Icelandic	0
a	Finnish	12.22
b	Finnish	0.28
c	Finnish	0.28
d	Finnish	1.04
e	Finnish	7.97
f	Finnish	0.19
g	Finnish	0.39
h	Finnish	1.85
i	Finnish	10.82
j	Finnish	2.04
k	Finnish	4.97
l	Finnish	5.76
m	Finnish	3.2
n	Finnish	8.83
o	Finnish	5.61
p	Finnish	1.84
q	Finnish	0.01
r	Finnish	2.87
s	Finnish	7.86
t	Finnish	8.75
u	Finnish	5.01
v	Finnish	2.25
w	Finnish	0.09
x	Finnish	0.03
y	Finnish	1.75
z	Finnish	0.05
ß	Finnish	0
à	Finnish	0
á	Finnish	0
â	Finnish	0
ã	Finnish	0
ä	Finnish	3.58
å	Finnish	0
æ	Finnish	0
ç	Finnish	0
è	Finnish	0
é	Finnish	0
ê	Finnish	0
ë	Finnish	0
ì	Finnish	0
í	Finnish	0
î	Finnish	0
ï	Finnish	0
ð	Finnish	0
ñ	Finnish	0
ò	Finnish	0
ó	Finnish	0
ô	Finnish	0
ö	Finnish	0.44
ø	Finnish	0
ù	Finnish	0
ú	Finnish	0
ü	Finnish	0
ý	Finnish	0
þ	Finnish	0
ą	Finnish	0
ć	Finnish	0
ĉ	Finnish	0
ę	Finnish	0
ĝ	Finnish	0
ğ	Finnish	0
ĥ	Finnish	0
ı	Finnish	0
ĵ	Finnish	0
ł	Finnish	0
ń	Finnish	0
œ	Finnish	0
ś	Finnish	0
ŝ	Finnish	0
ş	Finnish	0
ŭ	Finnish	0
ź	Finnish	0
ż	Finnish	0
